Model.Year	Mfr	Division	Car.line	Class	CityMPG	HighwayMPG	CombinedMPG	Displacement	Cylinders	Transmission	Gears	CityCO2	HwyCO2	CombCO2	Sample
2016	FCA US LLC	Alfa Romeo	4C	Two Seaters	24	34	28	1.8	4	Auto(AM6)	6	365	259	317	No
2016	aston martin	Aston Martin Lagonda Ltd	V12 Vantage S	Two Seaters	12	18	14	6	12	Auto(AM7)	7	742	488	628	No
2016	aston martin	Aston Martin Lagonda Ltd	V8 Vantage	Two Seaters	14	21	16	4.7	8	Auto(AM7)	7	655	426	552	No
2016	aston martin	Aston Martin Lagonda Ltd	V8 Vantage	Two Seaters	13	19	15	4.7	8	Manual(M6)	6	681	461	582	No
2016	aston martin	Aston Martin Lagonda Ltd	V8 Vantage S	Two Seaters	14	21	16	4.7	8	Auto(AM7)	7	655	426	552	No
2016	aston martin	Aston Martin Lagonda Ltd	V8 Vantage S	Two Seaters	13	19	15	4.7	8	Manual(M6)	6	681	461	582	No
2016	aston martin	Aston Martin Lagonda Ltd	Vantage GT	Two Seaters	14	21	16	4.7	8	Auto(AM7)	7	655	426	552	Yes
2016	aston martin	Aston Martin Lagonda Ltd	Vantage GT	Two Seaters	13	19	15	4.7	8	Manual(M6)	6	681	461	582	No
2016	Volkswagen Group of	Audi	TT Roadster quattro	Two Seaters	23	30	26	2	4	Auto(AM-S6)	6	373	290	336	No
2016	BMW	BMW	M4 GTS	Two Seaters	16	23	19	3	6	Auto(AM-S7)	7	551	388	478	No
2016	BMW	BMW	Z4 sDrive28i	Two Seaters	22	33	26	2	4	Auto(S8)	8	403	266	341	No
2016	BMW	BMW	Z4 sDrive28i	Two Seaters	22	34	26	2	4	Manual(M6)	6	400	259	337	No
2016	BMW	BMW	Z4 sDrive35i	Two Seaters	17	24	20	3	6	Auto(AM-S7)	7	518	376	454	No
2016	BMW	BMW	Z4 sDrive35is	Two Seaters	17	24	20	3	6	Auto(AM-S7)	7	518	376	454	No
2016	General Motors	Chevrolet	CORVETTE	Two Seaters	13	23	16	6.2	8	Auto(S8)	8	665	385	539	No
2016	General Motors	Chevrolet	CORVETTE	Two Seaters	16	29	20	6.2	8	Auto(S8)	8	554	306	442	No
2016	General Motors	Chevrolet	CORVETTE	Two Seaters	15	22	18	6.2	8	Manual(M7)	7	580	402	491	No
2016	General Motors	Chevrolet	CORVETTE	Two Seaters	17	29	21	6.2	8	Manual(M7)	7	517	310	424	No
2016	FCA US LLC	Dodge	Viper SRT	Two Seaters	12	21	15	8.4	10	Manual(M6)	6	714	415	579	No
2016	Ferrari	Ferrari North America, Inc.	488 GTB	Two Seaters	15	22	18	3.9	8	Auto(AM7)	7	582	404	502	No
2016	Ferrari	Ferrari North America, Inc.	488 GTB	Two Seaters	16	22	18	3.9	8	Auto(AM7)	7	572	406	497	No
2016	Ferrari	Ferrari North America, Inc.	488 Spider	Two Seaters	15	22	18	3.9	8	Auto(AM7)	7	582	404	502	No
2016	Ferrari	Ferrari North America, Inc.	488 Spider	Two Seaters	16	22	18	3.9	8	Auto(AM7)	7	572	406	497	No
2016	Ferrari	Ferrari North America, Inc.	F12	Two Seaters	11	16	13	6.3	12	Auto(AM7)	7	776	561	679	No
2016	Ferrari	Ferrari North America, Inc.	F12	Two Seaters	12	16	13	6.3	12	Auto(AM7)	7	760	557	669	No
2016	Ferrari	Ferrari North America, Inc.	F12 tdf	Two Seaters	12	17	13	6.3	12	Auto(AM7)	7	767	527	659	No
2016	Ferrari	Ferrari North America, Inc.	F12 tdf	Two Seaters	11	15	12	6.3	12	Auto(AM7)	7	814	606	721	No
2016	Ferrari	Ferrari North America, Inc.	F60 America	Two Seaters	12	15	13	6.3	12	Auto(AM7)	7	777	598	697	No
2016	Ferrari	Ferrari North America, Inc.	F60 America	Two Seaters	11	15	13	6.3	12	Auto(AM7)	7	801	601	711	No
2016	Honda	Honda	CR-Z	Two Seaters	36	39	37	1.5	4	Auto(AV-S7)	7	247	227	238	No
2016	Honda	Honda	CR-Z	Two Seaters	31	38	34	1.5	4	Manual(M6)	6	285	232	261	No
2016	Jaguar Land Rover L	Jaguar	F-TYPE Convertible	Two Seaters	19	28	22	3	6	Auto(S8)	8	457	322	396	No
2016	Jaguar Land Rover L	Jaguar	F-TYPE Convertible Manual	Two Seaters	16	24	19	3	6	Manual(M6)	6	564	368	476	No
2016	Jaguar Land Rover L	Jaguar	F-TYPE Coupe	Two Seaters	19	28	22	3	6	Auto(S8)	8	457	322	396	No
2016	Jaguar Land Rover L	Jaguar	F-TYPE Coupe Manual	Two Seaters	16	24	19	3	6	Manual(M6)	6	564	368	476	No
