Price	Living.Area	Bedrooms	Bathrooms	Fireplaces	Age
142212	1982	3	1	0	133
134865	1676	3	1.5	1	14
118007	1694	3	2	1	15
138297	1800	2	1	2	49
129470	2088	3	1	1	29
206512	1456	3	2	0	10
50709	960	2	1.5	0	12
108794	1464	2	1	0	87
68353	1216	2	1	0	101
123266	1632	3	1.5	0	14
309808	2270	3	2.5	2	9
157946	1804	3	2.5	1	0
80248	1600	3	1.5	0	16
135708	1460	2	2	0	17
173723	1548	3	2	1	0
140510	1590	3	2.5	1	0
122221	1170	4	1.5	0	26
151917	1510	3	2.5	1	0
235105	2299	4	2.5	1	6
259999	2577	4	2.5	1	1
211517	2328	4	2.5	1	10
102068	1172	3	2.5	1	73
128440	1554	3	1.5	0	103
115659	1242	3	2	1	30
145583	1376	3	2	1	25
116289	1107	3	1	1	43
238792	2250	4	2.5	1	10
221925	2472	4	2	0	183
310696	2843	4	2.5	1	5
139079	1400	3	1.5	1	35
109578	1342	2	1	1	41
65325	813	2	1	0	68
89893	1480	2	2.5	1	14
87588	1392	2	1	0	17
132311	1512	3	1.5	1	13
131411	1512	3	1.5	1	13
158863	1696	3	2.5	1	5
130490	1595	3	2	1	6
88207	1480	3	1.5	0	14
178767	2291	4	2.5	1	0
148246	1391	3	2	0	12
205073	2501	4	2.5	0	0
185323	1662	3	2	0	0
71904	957	3	1	0	45
82556	1480	3	1.5	1	14
199684	2275	4	2.5	0	0
122221	1440	3	1	1	32
81762	1008	3	1	0	41
84291	1480	2	2.5	1	14
206512	2116	3	2.5	1	0
105363	1100	3	1	1	93
45004	960	2	1	0	11
62105	1228	2	1	0	53
103508	1560	3	1.5	1	16
157513	2164	3	2	1	183
79893	2634	4	2.5	0	83
88770	1000	3	1	0	91
115312	912	2	1	0	14
118952	1572	3	1.5	0	16
103861	1700	3	1	1	25
112649	1350	3	1.5	0	26
127385	1416	3	1.5	0	11
153129	1560	3	2	1	4
143808	1572	3	1.5	0	7
133067	1326	4	2	0	7
226742	1989	3	2	1	247
98652	1158	3	1.5	0	14
111394	1272	3	1.5	0	1
101418	1852	4	2	1	37
139219	2308	2	3	0	5
115248	1700	2	2	0	15
99574	1628	2	1.5	1	30
224818	2738	2	2.5	1	12
108459	1292	3	1.5	0	25
107919	1056	2	2	0	7
45904	1328	4	1	0	103
83617	1272	4	1.5	0	115
154723	1944	3	2.5	0	0
101258	1232	3	1	1	43
118949	1164	3	2	0	5
128717	1215	3	1.5	0	41
136379	1486	3	2.5	0	0
124367	1272	3	1.5	0	1
62938	1064	3	1	0	95
172016	1547	3	2	0	11
106524	1148	3	1	0	7
147412	1821	3	2.5	0	0
111221	1056	3	1	0	27
75862	995	3	1	0	47
109578	1176	3	2	0	5
119166	912	2	1	0	68
185318	1500	4	1.5	2	208
104749	1852	4	1	0	147
44674	1214	3	1	0	103
80540	1380	2	1.5	0	0
93773	1324	3	1.5	0	5
109999	1218	3	1.5	1	0
16858	1629	3	1	0	180
114326	1053	3	1	1	41
106524	1308	2	1	0	17
160995	1344	2	1.5	1	15
139079	1608	3	1	1	63
59003	3285	5	2	0	233
147425	1582	3	1.5	0	11
144695	1642	3	2	1	11
130229	1248	3	2	0	11
119840	1411	3	1	1	48
129723	1593	3	1	1	63
133595	1666	3	2.5	1	1
126311	1471	3	2.5	0	4
167693	1876	3	2.5	1	1
103958	1486	3	1.5	0	16
155488	1747	3	2.5	0	1
152112	1512	3	2.5	1	18
228619	2527	4	2.5	1	1
139435	1666	3	2.5	0	0
161923	1456	3	2	1	1
261011	3015	4	2.5	1	1
120115	967	4	2	0	55
153013	1720	4	2	1	31
298923	3515	4	2.5	1	0
271791	2815	4	2.5	1	1
126498	720	3	1	0	113
267731	3001	5	2.5	1	0
181979	1822	3	2.5	1	4
145663	1666	3	2.5	1	1
128273	1343	2	2.5	1	15
106524	1144	2	1	1	16
101997	1214	2	1.5	0	17
110963	1888	3	1	1	18
147625	1668	2	2	0	16
466044	3853	4	2.5	1	5
116321	1486	3	1.5	0	16
194880	2278	4	2.5	1	0
143294	1360	4	1	0	53
387652	3504	5	2.5	3	0
240890	1921	3	2	1	0
260460	3726	4	2.5	1	3
90354	912	2	1.5	0	16
192694	2079	3	2.5	0	11
102801	1184	3	2	0	18
79567	908	2	1	0	19
101708	1492	3	2.5	0	16
162913	2011	4	2.5	1	12
75606	912	2	1.5	0	19
175874	2195	3	2	1	1
159313	1561	4	1.5	0	17
207237	2656	4	2.5	1	1
205397	2425	4	2.5	1	0
79116	908	2	1	0	19
161923	1158	3	1.5	0	7
133155	1334	3	1.5	0	7
159786	1561	3	1.5	1	16
102405	1680	3	2	0	15
114514	1514	3	2	0	17
162006	1656	3	1.5	1	17
93815	1184	2	1.5	0	19
181140	2648	4	2.5	1	0
137309	1092	3	1.5	0	33
136551	1880	3	2	0	7
107049	1592	3	2	0	16
163524	2516	3	2	1	40
181140	2310	4	3	1	31
317120	3076	4	3.5	1	0
77547	908	2	1	0	19
81762	912	2	1.5	0	19
147517	1680	4	1	0	27
263226	3355	4	2.5	1	1
163191	1886	3	2.5	1	16
125920	1605	3	2.5	1	0
164623	1772	3	2	1	0
161562	2044	3	2.5	1	16
163781	1124	3	1	0	26
235152	3192	4	3	1	2
120639	1498	2	1.5	1	0
123834	1092	5	1	0	72
76342	896	2	1	0	48
79982	1572	4	1.5	0	41
69152	986	3	1	0	133
71647	2087	3	2.5	1	0
140765	1596	3	1.5	0	49
91792	908	2	1	0	17
134865	1500	3	1.5	2	31
139079	1719	3	1.5	1	25
244443	2810	4	2.5	2	14
162091	1806	3	2.5	1	0
263226	3355	4	2.5	1	1
126010	1760	4	1	1	37
173102	1896	3	1.5	1	17
120639	1498	2	1.5	1	0
139079	1248	3	2	0	37
189654	2320	4	2.5	1	16
89432	1132	2	1	1	25
196317	2359	4	2.5	1	1
209122	3476	4	2.5	1	20
140602	1693	3	1.5	1	26
170567	1585	3	1.5	1	16
111875	1758	3	2	0	25
225885	2524	4	2.5	1	6
163652	1908	3	2.5	1	25
119858	1476	3	1.5	1	24
212830	2266	4	2.5	1	0
142907	1920	3	2	1	31
193524	1730	3	2.5	1	1
189836	1726	3	2	1	26
154432	1644	4	2.5	1	20
248204	1908	3	2	1	0
175514	2475	4	2.5	1	35
297024	3020	4	2.5	2	2
175514	2310	5	2.5	1	36
201616	2119	4	2.5	1	16
562546	5228	4	4	4	14
172814	2056	4	1.5	1	35
232894	2500	4	2.5	1	0
169124	2576	5	2.5	1	34
232219	2541	4	2.5	1	5
247520	2445	4	2.5	2	18
224928	2185	3	2.5	1	14
294133	3981	4	3	1	0
228806	2577	4	2.5	1	0
170600	1728	3	2.5	1	0
175784	1837	3	1.5	0	18
229055	2500	4	2.5	1	0
157513	1910	4	2.5	1	19
308750	2958	4	2.5	1	0
202157	2564	4	2.5	1	30
241885	2604	4	3	1	0
297380	2906	4	2.5	1	2
119751	1480	3	1.5	0	17
153129	1872	4	1.5	1	32
156679	1911	4	1.5	1	35
102086	1302	2	1.5	0	16
149933	1664	3	2	1	25
228375	2512	4	2.5	1	0
261872	2380	3	2.5	1	9
161118	1887	4	2.5	1	27
190856	2086	4	2.5	1	14
140701	1554	2	2	3	20
368396	3358	4	3.5	1	9
250976	2394	4	2.5	1	0
180032	2066	4	2.5	1	32
332888	3111	4	2.5	1	3
177452	2402	4	2.5	1	28
219262	2327	4	2.5	1	10
254327	2541	4	2.5	1	5
197105	1894	3	2	1	0
166888	1740	3	1.5	0	26
115401	1480	3	1.5	0	18
208610	1752	3	2.5	1	10
107892	1375	2	1.5	1	20
143294	1918	3	2	1	29
282373	2793	3	2.5	1	21
239301	2619	4	2.5	1	0
143210	1744	4	1.5	1	35
379678	3720	5	4	1	0
221263	2000	3	2.5	0	22
111264	1142	3	1.5	0	18
252872	2612	4	2.5	1	23
172315	2008	4	2.5	1	0
182068	2035	4	2.5	1	35
94405	1375	2	1.5	0	22
26130	822	2	1	0	173
308218	3597	4	2.5	1	0
117164	1536	2	1	1	55
173639	1910	4	2.5	1	18
282289	3017	4	3.5	1	0
198083	1971	4	2.5	1	7
100306	1314	2	1.5	0	19
181225	1944	4	2.5	1	25
103677	1375	2	1.5	1	21
86651	1140	2	1.5	0	18
96934	1480	3	1.5	0	19
130650	2110	3	2	1	52
105843	972	3	1	0	40
114513	960	2	2	0	11
160426	2262	4	2	0	21
105363	864	3	1	0	128
189995	2150	4	2	0	104
104084	1170	2	2	0	10
210081	1596	3	1	1	29
137508	1530	3	2	1	20
111436	1380	3	1.5	0	2
74422	1708	2	1	2	39
107912	1308	3	1	0	26
123757	1416	3	1.5	0	5
139800	1900	3	1.5	1	12
77921	1704	2	1	0	177
145123	1372	3	1.5	0	26
104412	1480	2	1.5	1	15
391842	3003	4	3.5	1	88
118468	1298	3	1	1	44
176698	1772	3	2.5	1	14
63852	1536	4	1.5	1	30
212103	1400	3	2	1	25
146611	1580	5	1.5	0	26
113444	1656	3	1	0	94
47630	1235	3	1	1	84
63101	1628	2	1	0	124
51183	1144	3	1	0	15
92436	1300	3	1	0	10
114513	1560	3	1.5	0	5
269063	3319	3	2.5	0	20
127303	1210	2	1	1	17
133612	1768	4	1.5	1	48
137508	1164	3	1	1	54
145147	1832	4	2	1	47
107306	1276	3	2	0	29
260228	2092	4	2.5	1	0
104412	2116	4	2	0	74
120476	1248	3	2	0	14
118409	2128	4	2	0	7
146611	1056	2	1	0	5
85560	2068	4	1	1	104
205498	3069	4	3.5	1	13
163478	2334	4	2	0	39
137540	1551	4	1	0	97
116862	1456	4	1	1	54
109633	775	2	1	0	47
156606	1756	3	1.5	1	24
139418	1296	4	2	1	51
122229	1404	3	2	0	72
179524	1632	4	2	1	20
111633	1564	3	1	1	54
134266	1501	3	2	1	44
130239	1586	3	1.5	1	49
121680	1412	3	1.5	0	103
199187	2223	4	2.5	0	9
126311	1370	3	1	1	27
265637	3030	4	2.5	1	1
229915	2103	4	2.5	1	6
161473	1560	2	1	1	43
150909	1512	3	1.5	0	7
287360	3133	4	3	1	1
189912	2316	3	2.5	1	7
109040	1198	2	1	0	13
144561	1292	3	2	1	4
90678	957	3	1	0	49
89955	1216	3	1	0	129
122082	2256	4	1.5	0	124
84333	2043	4	1.5	1	94
144571	1512	3	1.5	1	13
180803	1570	3	2	1	14
198622	1616	2	2	1	36
120192	1404	3	2	0	7
163102	1552	3	1.5	1	9
184515	1472	4	1.5	1	3
189654	2367	4	2.5	1	4
135820	1475	3	2	1	20
150022	1632	4	2.5	1	30
189776	1964	4	2.5	1	6
196603	2064	4	2.5	1	3
161839	1601	3	1.5	1	8
202836	2284	3	1.5	1	29
156797	1672	3	2.5	1	0
222198	2495	4	2.5	1	26
103262	1176	2	1.5	0	31
253545	1498	2	1	1	51
116170	1272	3	1	0	31
112509	1138	3	1	0	98
355529	2186	3	2.5	0	12
204643	1743	3	2.5	1	0
135011	2488	3	2	1	24
106659	936	3	1	0	34
323819	2592	3	3	0	1
135011	1327	2	2	1	35
126010	864	3	1.5	0	37
216018	1216	3	1.5	0	75
446436	3467	4	2.5	1	3
133155	1480	3	2.5	1	16
146471	892	2	1	0	113
329484	2786	4	2.5	1	0
509488	3530	4	3.5	1	0
110963	1568	3	1.5	0	18
300931	847	2	1	0	78
255303	2242	3	2.5	0	0
150909	1374	3	1.5	0	44
184109	1920	3	2.5	1	0
173446	2124	3	2.5	1	0
127740	1480	3	2.5	1	16
213048	2022	3	2.5	1	0
114070	1098	2	1	0	113
205947	1224	2	1	0	63
209226	2550	3	2.5	1	0
134378	1279	3	1	0	31
113371	1177	3	1.5	0	36
261301	1859	3	1.5	0	85
218734	2219	4	2.5	1	15
254944	2579	4	2.5	1	0
143252	1568	3	1.5	0	18
99463	912	3	1	0	31
123064	1209	2	1	0	73
