"Team"	"League"	"Runs"	"Home.Att"	"Home.Att.Avg"	"Won"	"Lost"	"Road.Att.Avg"	"Overall.Att.Avg"
"Aizona Diamondbacks"	"NL"	752	2036216	25138	69	93	32701	28920
"Atlanta Braves"	"NL"	649	2020914	24949	68	93	28026	26478
"Baltimore Orioles"	"AL"	744	2172344	26819	89	73	31796	29307
"Boston Red Sox"	"AL"	878	2955434	36486	93	69	32290	34388
"Chicago Cubs"	"NL"	808	3232420	39906	103	58	35052	37479
"Chicago White Sox"	"AL"	686	1746293	21828	78	84	28188	25028
"Cincinnati Reds"	"NL"	716	1894085	23383	68	94	31895	27639
"Cleveland Indians"	"AL"	777	1591667	19650	94	67	26940	23249
"Colorado Rockies"	"NL"	845	2602524	32129	75	87	31464	31796
"Detroit Tigers"	"AL"	750	2493859	31173	86	75	28313	29734
"Houston Astros"	"AL"	724	2306623	28476	84	78	28041	28258
"Kansas City Royals"	"AL"	675	2557712	31576	81	81	27979	29778
"Los Angeles Angels"	"AL"	717	3016142	37236	74	88	28676	32956
"Los Angeles Dodgers"	"NL"	725	3703312	45719	91	71	32959	39339
"Miami Marlins"	"NL"	655	1712417	21405	79	82	28510	24979
"Milwaukee Brewers"	"NL"	671	2314614	28575	73	89	30954	29764
"Minnesota Twins"	"AL"	722	1963912	24245	59	103	27357	25801
"NY Mets"	"NL"	671	2789602	34870	87	75	30791	32830
"NY Yankees"	"AL"	680	3063405	37819	84	78	30940	34380
"Oakland Athletics"	"AL"	653	1521506	18784	69	93	29511	24147
"Philadelphia Phillies"	"NL"	610	1915144	23643	71	91	30783	27213
"Pittsburgh Pirates"	"NL"	729	2249021	28112	78	83	29999	29061
"San Diego Padres"	"NL"	686	2351426	29029	68	94	32847	30938
"Seattle Mariners"	"AL"	768	3365256	41546	86	76	32164	36855
"San Francisco Giants"	"NL"	715	2267928	27999	87	75	28309	28154
"St Louis Cardinals"	"NL"	779	3444490	42524	86	76	31092	36844
"Tampa Bay Rays"	"AL"	672	1286163	15878	68	94	30093	22985
"Texas Rangers"	"AL"	765	2710402	33461	95	67	27560	30511
"Toronto Blue Jays"	"AL"	759	3392299	41880	89	73	30065	35972
"Washington Nationals"	"NL"	763	2481938	30641	95	67	29664	30152
