Year	Movie	US Gross ($M)	Budget ($M)	Run Time (min)	Critic Score (Rotten Tomatoes)
2012	Django Unchained	162.805434	100	165	88
2012	Parental Guidance	77.264926	25	105	18
2012	The Impossible	19.019882	40	114	81
2012	Jack Reacher	80.070736	60	130	61
2012	This is 40	67.544505	35	134	51
2012	The Guilt Trip	37.134215	40	95	38
2012	The Hobbit: An Unexpected Journey	303.003568	250	169	64
2012	Playing for Keeps	13.102272	35	105	4
2012	Killing Them Softly	15.026056	15	97	75
2012	Red Dawn	44.806783	65	93	12
2012	Silver Linings Playbook	132.092958	21	122	92
2012	Life of Pi	124.987023	120	127	87
2012	Rise of the Guardians	103.412758	145	97	74
2012	Twilight Saga: Breaking Dawn Part 2	281.287133	136.2	115	49
2012	Skyfall	304.360277	200	143	92
2012	The Man with the Iron Fists	15.63409	15	196	49
2012	Wreck-It-Ralph	189.422889	165	108	86
2012	Flight	93.772375	31	139	78
2012	Silent Hill: Revelations 3D	17.529157	20	94	5
2012	Fun Size	9.409538	14	90	25
2012	Chasing Mavericks	6.002756	20	111	31
2012	Cloud Atlas	27.108272	102	164	66
2012	Alex Cross	25.888412	35	101	12
2012	Paranormal Activity 4	53.900335	5	95	24
2012	Here Comes the Boom	45.290318	42	105	38
2012	Argo	136.025503	44.5	120	96
2012	Frankenweenie	35.291068	39	87	87
2012	Taken 2	139.854287	45	91	21
2012	Won't Back Down	5.310554	19	121	33
2012	Looper	66.486205	30	118	93
2012	Hotel Transylvania	148.313048	85	91	45
2012	Trouble With the Curve	35.763137	60	111	50
2012	Dredd	13.414714	45	95	78
2012	House at the End of the Street	31.611916	6.9	101	10
2012	Resident Evil: Retribution	42.345531	65	95	31
2012	The Words	11.494838	6	96	22
2012	The Cold Light of Day	3.763583	20	93	5
2012	The Possession	49.130154	14	91	40
2012	Lawless	37.400127	26	115	67
2012	Premium Rush	20.275446	35	91	76
2012	Hit and Run	13.7493	2	100	49
2012	Paranorman	56.003051	60	93	87
2012	Sparkle	24.397469	10	120	57
2012	The Expendables 2	85.028192	100	102	65
2012	The Odd Life of Timothy Green	51.854875	40	100	33
2012	The Bourne Legacy	113.20387	125	135	55
2012	Hope Springs	63.536011	30	121	74
2012	Total Recall	58.877969	125	121	30
2012	Diary of a Wimpy Kid: Dog Days	49.008662	22	94	51
2012	Step Up Revolution	35.074677	33	106	42
2012	The Watch	35.353	55	102	17
2012	The Dark Knight Rises	448.139099	250	165	88
2012	Ice Age: Continental Drift	161.321843	95	88	37
2012	Savages	47.382068	45	143	51
2012	Katy Perry: Part of Me	25.326071	12	117	78
2012	The Amazing Spiderman	262.030663	220	136	73
2012	Tyler Perry's Madea's Witness Protection	65.653242	20	114	21
2012	Magic Mike	113.721571	7	111	80
